B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
ABCB4,BTLA,ADAM15,ABI3BP,BCL2A1,JUN,ABCC4,ACTB,CST1,JUN,ALOX5AP,ABCB9,ABLIM1,CD3D,BCL6,B3GAT1,ADAM8,CTLA4,ABLIM1,APCS,MKI67,CXCR3,CCR6,BCL6,ARID5B,CD28,ITGA4
ACTR3,C1orf54,ADCY4,ACTA2,CCL2,ARG1,ADAMTS3,ACTG1,CTGF,ADARB1,UGCG,AMPDCD1,ACTN1,CD3E,BCL6B,CCL5,ADGRG1,HLA-DRB1,ACTN1,B3GAT1,TUBA1B,CXCR5,KLRB1,CCR6,BACH2,KLRB1,IL2RA
ADAM28,CADM1,AFAP1L1,ADAM33,CCL4,CCL22,ADCYAP1,AHNAK,TAGLN,ALDH1B1,SMPD3,ANKRD28,C1orf162,CD3G,BMI1,CCR7,ADRB2,ENTPD1,AIF1,BCL6,CD8A,CCR5,CAPG,CD4,BATF,RORC,TRAT1
AFF3,CCL19,ANGPT2,ADAMTS2,CCL5,CCR5,ARHGAP15,AIF1,ACTA2,B3GAT1,CD4,ARSA,CCR7,CD4,CCL5,CD244,AGTPBP1,KRT86,APBA2,BLTA,TYMS,KLRB1,CD3D,CXCL13,CCR10,IL23R,IKZF2
AHNAK,CCL22,APOLD1,AMOTL2,CCR5,CD14,CALB2,ALDOA,MCAM,BCL2,IRF7,ARX,CD27,CD8A,CCR7,CD27,AHNAK,LY6E,APEX1,CCR5,CD4,CCR6,CD3E,CXCR3,CCR4,TLE1,FOXP3
AID,CCR7,APP,ANTXR1,CCR7,CD163,CTSA,ANXA1,MYLK,CASP5,JCHAIN,BHLHE41,CD28,COTL1,CD27,CD3D,ARHGAP25,IFI6,ARHGAP45,CCR6,CD3E,CCR4,CD3G,ICA1,CCR6,SLC4A10,IL17A
AIM2,CD1B,ARHGAP29,AOX1,CD14,CD200R1,CCL4,ANXA2,MYL9,CCL19,BCL11A,BRSK1,CD3D,CTSW,CD28,CD3E,ARL4C,IFI27,ARHGEF18,CD200,TYMS,CD4,CD4,ICOS,CCR7,ZBTB16,IL7R
AKNA,CD1C,CCBP2,C1R,CD163,CD209,CSF2RA,ANXA5,IL6,CCL3,CD99,CADM1,CD3E,CX3CR1,CD3D,CD3G,BIN2,HLA-DQA2,ARMH1,CD3D,CD3D,IFNG,CTSH,MAF,CCR8,ME1,DUSP1
ALOX5,CD1E,CCL14,C1S,CD33,CD33,IL3RA,AP1S2,PDGFA,CCL4,EIF4A3,CADPS2,CD3G,GNLY,CD3E,CD8A,C12orf75,IFI44,ATM,CD3E,PTPRC,CCL4,FURIN,MALAT1,CD101,CCR6,CD3G
ALOX5AP,CD33,ICAM2,C3,CD38,CD36,IL5RA,APLP2,TSPAN8,CCL5,RNASET2,CCR10,CD4,GZMA,CD3G,CX3CR1,C1orf21,OAS1,BACH2,CD3G,,TBX21,IL23R,MME,CD2,TRGV9,CD3D
APRIL,CD4,VCAM1,CA12,CD40,CD40,IL6R,ARHGDIB,PAMR1,CCR4,PTCRA,KIT,CD40LG,GZMB,CD44,DUSP2,CAPN2,PRF1,BEX4,CD4,,TNF,IL17A,PDCD1,CD244,IL17RA,CD40LG
ARHGAP24,CD59,NECTIN2,CCDC80,CD63,CD63,CD15,ARPC1B,SCARA3,CCR7,MS4A6A,CD19,CD55,GZMH,CD8A,FGFBP2,CASP8,HAVCR2,C1orf162,CD40LG,,STAT1,IL1R1,TIGIT,CD27,DPP4,VCL
ARHGAP25,CLEC10A,ANPEP,CD248,CD68,CD68,CD24,ARPC3,WIF1,CD14,SLC20A1,CD20,CD69,GZMK,CD8B,GNLY,CCL4,CXCL13,CA6,CDK5R1,,STAT4,IL1R2,TNFRSF4,CD28,NCR3,FCGR3B
ARPC3,CLEC9A,PROM1,CKAP4,CD80,CD80,CR1,ARPC5,TGFBI,CD160,APP,LY9,CD8A,IFNG,CXCR3,GPR183,CCL5,HLA-DRB5,CAMK4,CHGB,,ZEB2,IL26,TOX2,CD3D,IL7R,LILRB1
ATP6V1G1,CXCR4,ACE,CLDN11,CD83,CD86,SPN,ARRB2,TNC,CD163,HSP90B1,CD24,CXCR5,KLRB1,EOMES,GZMA,CD300A,HLA-DRA,CCR7,CHI3L2,,ATOH7,ITGAE,LTB,CD3E,TRAV1-2,ADAM8
THAP11,EBI3,CDH5,COL14A1,CD86,CHI3L1,FCGR1A,ASAH1,BCHE,CD19,GZMB,CD27,EEF1B2,KLRG1,GPR183,GZMB,CD3E,ALOX5AP,CD248,CTLA4,,PTPRC,RORA,CD40LG,CD3G,ITGAE,LITAF
